frame,ball_x,ball_y,player11_x1,player11_y1,player11_x2,player11_y2,player12_x1,player12_y1,player12_x2,player12_y2,player21_x1,player21_y1,player21_x2,player21_y2,player22_x1,player22_y1,player22_x2,player22_y2,shot_made,shot_player,shot_type
50,833.0,39.0,765.0,156.8,848.9,246.2,929.0,64.9,964.6,137.7,482.2,667.7,617.6,836.8,1478.9,663.7,1647.2,867.0,False,,
51,847.1666666666666,47.583333333333336,765.4,157.1,848.8,246.1,928.1,65.3,965.0,138.2,484.4,667.8,619.3,836.9,1478.6,662.4,1647.1,866.4,False,,
52,861.3333333333334,56.16666666666667,765.5,157.3,848.8,245.9,927.5,65.0,966.5,138.3,487.0,668.0,620.3,836.9,1478.4,661.5,1646.9,867.3,False,,
53,875.5,64.75,765.7,157.5,848.8,246.0,928.0,64.4,967.9,138.6,490.5,668.1,624.9,836.7,1478.3,660.5,1646.5,864.3,False,,
54,889.6666666666666,73.33333333333334,765.8,157.7,848.8,246.2,928.9,63.8,969.1,139.3,493.4,668.1,630.8,836.5,1478.8,659.5,1646.1,863.8,False,,
55,903.8333333333334,81.91666666666667,765.9,158.2,848.8,246.0,930.3,63.9,970.2,138.7,495.7,668.0,635.2,836.4,1477.8,658.9,1645.4,862.9,False,,
56,918.0,90.5,765.9,158.6,848.9,246.2,930.8,64.9,971.7,138.7,497.2,667.7,639.7,836.4,1464.0,658.7,1643.7,859.7,False,,
57,932.1666666666666,99.08333333333334,766.0,159.3,848.9,246.0,931.9,66.9,973.3,138.8,497.8,667.6,644.1,836.1,1457.5,659.4,1640.5,857.1,False,,
58,946.3333333333334,107.66666666666667,765.6,160.3,849.0,245.6,932.3,68.0,975.3,139.8,498.3,667.9,644.0,835.5,1485.6,660.7,1637.4,843.3,False,,
59,960.5,116.25,765.4,160.7,849.1,245.6,933.0,69.4,979.4,140.4,498.2,667.3,657.3,833.5,1459.8,662.0,1633.9,851.1,False,,
60,974.6666666666666,124.83333333333334,765.5,160.8,849.2,245.8,932.5,70.5,982.8,143.3,498.3,667.1,663.9,832.7,1449.0,664.5,1627.9,843.4,False,,
61,988.8333333333333,133.41666666666669,765.5,160.8,849.3,245.9,932.8,71.8,984.9,143.6,498.2,666.9,667.0,830.2,1466.2,668.7,1623.4,837.2,False,,
62,1003.0,142.0,765.5,160.7,849.3,246.0,932.2,71.7,988.5,144.6,498.4,666.9,664.3,831.4,1477.5,672.5,1618.2,831.1,False,,
63,1015.0,153.0,765.7,160.0,849.4,246.9,933.2,72.1,992.2,144.4,497.6,665.9,660.0,832.3,1477.7,675.1,1612.8,828.5,False,,
64,1028.0,166.0,765.5,160.3,849.4,246.4,937.8,72.8,995.5,144.5,497.0,665.6,656.5,834.1,1476.2,676.6,1608.2,825.4,False,,
65,1044.0,180.0,765.7,159.7,849.5,247.0,945.5,72.4,998.6,145.0,495.7,665.3,655.1,834.0,1476.4,678.0,1602.9,822.8,False,,
66,1060.0,198.0,765.8,159.2,849.6,247.4,951.4,72.1,1001.2,146.5,494.3,664.7,655.5,833.9,1478.6,679.0,1599.7,819.7,False,,
67,1075.0,215.0,765.8,158.9,849.7,247.2,955.6,71.8,1006.1,148.3,492.1,663.6,652.2,834.0,1478.4,680.0,1597.4,822.4,False,,
68,1093.0,237.0,765.9,158.8,849.8,247.4,960.2,70.7,1009.4,149.1,489.2,662.7,649.2,834.6,1477.4,680.6,1595.7,848.8,False,,
69,1111.0,263.0,765.9,158.8,849.9,247.6,963.9,70.7,1012.2,153.5,486.5,662.5,648.0,834.8,,,,,False,,
70,1130.0,290.0,765.9,158.5,850.0,246.9,967.4,71.1,1015.7,156.7,,,,,,,,,False,,
71,1146.0,317.0,765.9,157.9,850.1,246.5,970.7,73.9,1018.4,158.3,481.7,660.4,648.0,834.9,,,,,False,,
72,1168.0,351.0,766.0,157.2,850.1,245.7,973.8,76.8,1022.1,159.2,,,,,,,,,False,,
73,1187.0,387.0,765.9,156.9,850.4,245.2,977.1,78.3,1026.8,159.9,,,,,,,,,False,,
74,1208.0,428.0,765.7,155.0,850.5,245.7,979.5,78.2,1035.6,160.5,,,,,,,,,False,,
75,1229.0,471.0,766.2,153.1,850.4,245.4,980.5,78.7,1047.6,160.4,,,,,,,,,False,,
76,1249.0,505.0,766.2,151.5,850.2,247.1,981.0,77.9,1056.6,160.8,,,,,,,,,False,,
77,1265.0,507.0,767.5,149.6,850.1,244.8,984.2,77.8,1066.4,161.7,,,,,,,,,False,,
78,1281.0,512.0,771.5,148.3,850.1,243.2,987.5,78.1,1072.4,162.6,464.7,656.0,599.8,790.1,,,,,False,,
79,1299.0,518.0,777.4,146.3,850.2,242.0,992.0,79.6,1076.2,163.8,461.3,655.9,593.8,788.0,1380.6,700.3,1581.3,854.6,False,,
80,1317.0,525.0,787.9,146.8,851.0,240.1,999.0,81.1,1079.0,164.3,458.6,654.7,609.7,790.2,1373.6,700.1,1577.8,877.2,False,,
81,1336.0,535.0,794.5,146.6,851.9,239.2,1008.6,81.2,1080.6,166.0,457.1,654.6,602.1,787.8,,,,,False,,
82,1356.0,548.0,797.5,144.3,854.4,237.6,1019.3,81.2,1083.6,167.1,455.4,653.8,609.9,789.3,1365.0,692.0,1566.6,902.8,False,,
83,1374.0,560.0,799.8,143.3,857.6,236.9,1031.1,80.7,1086.9,167.4,454.1,653.5,615.5,790.0,,,,,False,,
84,1394.0,578.0,800.8,143.0,859.4,236.0,1037.2,81.0,1089.0,168.2,453.1,653.3,615.4,790.3,1362.1,681.9,1553.4,912.6,False,,
85,1412.0,595.0,801.2,142.9,860.6,234.9,1041.9,81.1,1091.4,170.9,452.2,653.3,616.2,790.3,1361.4,676.3,1547.3,913.0,True,player22,smash
86,1430.0,615.0,801.5,143.1,860.0,233.7,1045.5,81.8,1094.7,172.6,451.4,653.3,619.3,790.9,1361.0,668.1,1540.6,911.4,False,,
87,1448.0,639.0,802.2,143.3,862.1,232.2,1048.0,83.3,1098.0,175.1,450.5,653.2,621.5,791.5,1360.6,662.8,1535.4,907.4,False,,
88,1072.0,28.0,803.6,143.4,863.8,231.2,1051.6,85.4,1105.4,176.1,449.3,653.2,621.7,791.8,1360.7,653.5,1531.1,897.6,False,,
89,nan,nan,805.0,143.4,869.3,231.2,1055.9,87.8,1114.2,176.7,448.3,653.2,621.8,791.9,1361.1,642.7,1528.4,856.5,False,,
90,nan,nan,807.4,143.4,875.8,231.1,1058.8,88.6,1123.8,176.9,447.7,653.3,620.7,792.1,1361.4,626.5,1523.2,839.1,False,,
91,1457.0,570.0,810.4,142.8,883.0,231.0,1062.6,89.2,1128.7,176.8,447.2,654.0,601.5,790.4,1360.5,612.1,1517.3,833.0,False,,
